id,state,city,href
1,texas,austin,https://realestate.usnews.com/places/texas/austin
2,colorado,denver,https://realestate.usnews.com/places/colorado/denver
3,colorado,colorado springs,https://realestate.usnews.com/places/colorado/colorado-springs
4,arkansas,fayetteville,https://realestate.usnews.com/places/arkansas/fayetteville
5,iowa,des moines,https://realestate.usnews.com/places/iowa/des-moines
6,minnesota,minneapolis st paul,https://realestate.usnews.com/places/minnesota/minneapolis-st-paul
7,california,san francisco,https://realestate.usnews.com/places/california/san-francisco
8,oregon,portland,https://realestate.usnews.com/places/oregon/portland
9,washington,seattle,https://realestate.usnews.com/places/washington/seattle
10,north-carolina,raleigh durham,https://realestate.usnews.com/places/north-carolina/raleigh-durham
11,alabama,huntsville,https://realestate.usnews.com/places/alabama/huntsville
12,wisconsin,madison,https://realestate.usnews.com/places/wisconsin/madison
13,michigan,grand rapids,https://realestate.usnews.com/places/michigan/grand-rapids
14,california,san jose,https://realestate.usnews.com/places/california/san-jose
15,tennessee,nashville,https://realestate.usnews.com/places/tennessee/nashville
16,north-carolina,asheville,https://realestate.usnews.com/places/north-carolina/asheville
17,idaho,boise,https://realestate.usnews.com/places/idaho/boise
18,florida,sarasota,https://realestate.usnews.com/places/florida/sarasota
19,district-of-columbia,washington,https://realestate.usnews.com/places/district-of-columbia/washington
20,north-carolina,charlotte,https://realestate.usnews.com/places/north-carolina/charlotte
21,texas,dallas fort worth,https://realestate.usnews.com/places/texas/dallas-fort-worth
22,south-carolina,greenville,https://realestate.usnews.com/places/south-carolina/greenville
23,maine,portland,https://realestate.usnews.com/places/maine/portland
24,utah,salt lake city,https://realestate.usnews.com/places/utah/salt-lake-city
25,florida,melbourne,https://realestate.usnews.com/places/florida/melbourne
26,arizona,phoenix,https://realestate.usnews.com/places/arizona/phoenix
27,massachusetts,boston,https://realestate.usnews.com/places/massachusetts/boston
28,new-york,albany,https://realestate.usnews.com/places/new-york/albany
29,kentucky,lexington fayette,https://realestate.usnews.com/places/kentucky/lexington-fayette
30,texas,houston,https://realestate.usnews.com/places/texas/houston
31,north-carolina,winston salem,https://realestate.usnews.com/places/north-carolina/winston-salem
32,nebraska,omaha,https://realestate.usnews.com/places/nebraska/omaha
33,nevada,reno,https://realestate.usnews.com/places/nevada/reno
34,texas,san antonio,https://realestate.usnews.com/places/texas/san-antonio
35,florida,fort myers,https://realestate.usnews.com/places/florida/fort-myers
36,california,san diego,https://realestate.usnews.com/places/california/san-diego
37,florida,pensacola,https://realestate.usnews.com/places/florida/pensacola
38,indiana,indianapolis,https://realestate.usnews.com/places/indiana/indianapolis
39,ohio,cincinnati,https://realestate.usnews.com/places/ohio/cincinnati
40,indiana,fort wayne,https://realestate.usnews.com/places/indiana/fort-wayne
41,michigan,lansing,https://realestate.usnews.com/places/michigan/lansing
42,florida,jacksonville,https://realestate.usnews.com/places/florida/jacksonville
43,new-hampshire,manchester,https://realestate.usnews.com/places/new-hampshire/manchester
44,pennsylvania,harrisburg,https://realestate.usnews.com/places/pennsylvania/harrisburg
45,south-carolina,charleston,https://realestate.usnews.com/places/south-carolina/charleston
46,tennessee,knoxville,https://realestate.usnews.com/places/tennessee/knoxville
47,connecticut,hartford,https://realestate.usnews.com/places/connecticut/hartford
48,pennsylvania,lancaster,https://realestate.usnews.com/places/pennsylvania/lancaster
49,missouri,kansas city,https://realestate.usnews.com/places/missouri/kansas-city
50,pennsylvania,pittsburgh,https://realestate.usnews.com/places/pennsylvania/pittsburgh
51,ohio,columbus,https://realestate.usnews.com/places/ohio/columbus
52,new-york,buffalo,https://realestate.usnews.com/places/new-york/buffalo
53,virginia,richmond,https://realestate.usnews.com/places/virginia/richmond
54,new-york,syracuse,https://realestate.usnews.com/places/new-york/syracuse
55,tennessee,chattanooga,https://realestate.usnews.com/places/tennessee/chattanooga
56,florida,tampa,https://realestate.usnews.com/places/florida/tampa
57,georgia,atlanta,https://realestate.usnews.com/places/georgia/atlanta
58,new-york,rochester,https://realestate.usnews.com/places/new-york/rochester
59,florida,lakeland,https://realestate.usnews.com/places/florida/lakeland
60,hawaii,honolulu,https://realestate.usnews.com/places/hawaii/honolulu
61,wisconsin,milwaukee,https://realestate.usnews.com/places/wisconsin/milwaukee
62,massachusetts,worcester,https://realestate.usnews.com/places/massachusetts/worcester
63,florida,orlando,https://realestate.usnews.com/places/florida/orlando
64,kentucky,louisville,https://realestate.usnews.com/places/kentucky/louisville
65,washington,spokane,https://realestate.usnews.com/places/washington/spokane
66,north-carolina,greensboro,https://realestate.usnews.com/places/north-carolina/greensboro
67,south-carolina,columbia,https://realestate.usnews.com/places/south-carolina/columbia
68,oklahoma,oklahoma city,https://realestate.usnews.com/places/oklahoma/oklahoma-city
69,ohio,dayton,https://realestate.usnews.com/places/ohio/dayton
70,alaska,anchorage,https://realestate.usnews.com/places/alaska/anchorage
71,nevada,las vegas,https://realestate.usnews.com/places/nevada/las-vegas
72,georgia,augusta,https://realestate.usnews.com/places/georgia/augusta
