id,ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,salary,positions,Lat,Long,mtg30,mtg_by_sal,mbs,rent12,rent_by_sal,rbs,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,rank
7,1,Austin,TX,"$51,840","$291,533","$1,155",79.7,54.8,34.2,2.6%,"$404,317","$63,924",86,30.3006,-97.7517,"$18,705 ",29%,29,"$13,860",22%,22,26%,25.5,95,96,26.5,7
5,2,Denver,CO,"$57,400","$393,842","$1,203",64.6,36.2,36.3,2.4%,"$488,386","$77,402",181,39.7621,-104.876,"$22,595 ",29%,29,"$14,436",19%,19,24%,24,94,96,26,5
6,3,Colorado Springs,CO,"$50,050","$286,700","$1,070",62.1,35.7,34.4,3.0%,"$321,088","$58,686",7,38.8674,-104.761,"$14,855 ",25%,25,"$12,840",22%,22,24%,23.5,87,90,26.5,6
2,4,Fayetteville,AR,"$45,830","$177,942",$778,68,45,33.9,2.5%,"$221,546","$54,929",19,36.0713,-94.166,"$10,250 ",19%,19,"$9,336",17%,17,18%,18,71,75,22,2
1,5,Des Moines,IA,"$50,600","$178,942",$857,60.3,41.4,35.7,2.6%,"$147,694","$72,170",22,41.5725,-93.6105,"$6,833 ",9%,9,"$10,284",14%,14,12%,11.5,17,22,16.5,1
29,7,San Francisco,CA,"$69,700","$768,517","$1,673",65.8,50.6,38.8,3.0%,"$1,451,049","$92,498",207,37.7562,-122.443,"$67,131 ",73%,73,"$20,076",22%,22,48%,47.5,107,114,54.5,29
11,8,Portland,OR,"$55,330","$375,425","$1,118",63.1,45.6,37.8,3.5%,"$464,283","$67,880",41,45.5371,-122.65,"$21,480 ",32%,32,"$13,416",20%,20,26%,26,98,106,34,11
14,9,Seattle,WA,"$63,120","$442,333","$1,297",60.2,45,37.1,3.2%,"$802,912","$81,519",130,47.6211,-122.324,"$37,146 ",46%,46,"$15,564",19%,19,33%,32.5,102,111,41.5,14
4,11,Huntsville,AL,"$53,600","$167,300",$779,,,38.4,2.3%,"$178,465","$58,017",11,34.6988,-86.6412,"$8,257 ",14%,14,"$9,348",16%,16,15%,15,47,58,26,4
3,12,Madison,WI,"$52,190","$247,967",$958,55.9,36.8,35.9,2.6%,"$293,514","$100,662",14,43.0827,-89.3923,"$13,579 ",13%,13,"$11,496",11%,11,12%,12,37,49,24,3
8,13,Grand Rapids,MI,"$44,770","$181,533",$826,57.9,40.2,35.7,3.1%,"$177,723","$57,225",11,42.9615,-85.6557,"$8,222 ",14%,14,"$9,912",17%,17,16%,15.5,50,63,28.5,8
32,14,San Jose,CA,"$77,180","$1,080,017","$1,940",72.4,50.6,36.9,2.4%,"$1,089,860","$87,059",179,37.3021,-121.849,"$50,421 ",58%,58,"$23,280",27%,27,43%,42.5,105,119,56.5,32
10,15,Nashville,TN,"$47,110","$248,883",$951,69.7,48.9,36.3,2.6%,"$287,500","$67,187",51,36.1715,-86.7843,"$13,301 ",20%,20,"$11,412",17%,17,19%,18.5,73,88,33.5,10
13,17,Boise,ID,"$43,880","$221,475",$879,63.5,41.2,35.8,2.6%,"$331,482","$56,828",16,43.6007,-116.231,"$15,336 ",27%,27,"$10,548",19%,19,23%,23,90,107,40,13
16,18,Sarasota,FL,"$42,680","$237,260","$1,089",81.7,64.1,51.6,3.3%,"$289,167","$55,593",8,27.3386,-82.543,"$13,378 ",24%,24,"$13,068",24%,24,24%,24,86,104,42,16
9,20,Charlotte,NC,"$50,150","$213,983",$935,70.9,48.7,37.3,3.4%,"$254,255","$101,284",73,35.2079,-80.8304,"$11,763 ",12%,12,"$11,220",11%,11,12%,11.5,31,51,31.5,9
12,22,Greenville,SC,"$43,230","$172,067",$787,70.3,50.5,38.5,2.2%,"$203,775","$57,444",10,34.8362,-82.3649,"$9,427 ",16%,16,"$9,444",16%,16,16%,16,62,84,38,12
23,23,Portland,ME,"$48,970","$223,367",$975,55.7,37.1,43.4,2.4%,"$333,446","$50,995",8,43.6773,-70.2715,"$15,427 ",30%,30,"$11,700",23%,23,27%,26.5,96,119,49.5,23
18,24,Salt Lake City,UT,"$47,272","$324,198",$963,63.8,41.6,30.2,2.3%,"$436,115","$75,686",57,40.7774,-111.93,"$20,176 ",27%,27,"$11,556",15%,15,21%,21,89,113,45,18
20,25,Melbourne,FL,"$48,240","$198,425",$971,81.9,62.8,47.1,3.5%,"$245,384","$56,120",2,28.1085,-80.6627,"$11,352 ",20%,20,"$11,652",21%,21,21%,20.5,76,101,45.5,20
15,26,Phoenix,AZ,"$49,500","$234,183","$1,032",86.6,63.4,36.2,3.9%,"$271,291","$76,096",103,33.5722,-112.089,"$12,551 ",16%,16,"$12,384",16%,16,16%,16,61,87,42,15
30,27,Boston,MA,"$65,420","$423,450","$1,335",58.7,44,38.7,2.6%,"$620,097","$77,840",236,42.3188,-71.0846,"$28,688 ",37%,37,"$16,020",21%,21,29%,29,99,126,56,30
17,30,Houston,TX,"$53,820","$223,875",$995,78.9,61.5,34,3.7%,"$192,681","$73,062",76,29.7869,-95.3905,"$8,914 ",12%,12,"$11,940",16%,16,14%,14,32,62,44,17
19,31,Winston-Salem,NC,"$44,910","$145,725",$732,69.7,49.4,40.4,3.5%,"$153,108","$56,460",17,36.1029,-80.261,"$7,083 ",13%,13,"$8,784",16%,16,15%,14.5,38,69,45.5,19
22,32,Omaha,NE,"$47,660","$171,164",$865,61.8,40.2,35.4,3.0%,"$193,769","$55,609",21,41.2628,-96.0498,"$8,965 ",16%,16,"$10,380",19%,19,18%,17.5,64,96,49.5,22
34,33,Reno,NV,"$46,330","$351,500",$946,92.1,57.7,38.2,3.0%,"$411,558","$58,653",5,39.5497,-119.848,"$19,040 ",32%,32,"$11,352",19%,19,26%,25.5,97,130,58.5,34
21,34,San Antonio,TX,"$46,200","$211,800",$949,80.2,58.6,34.4,3.0%,"$186,009","$83,577",21,29.4658,-98.5254,"$8,606 ",10%,10,"$11,388",14%,14,12%,12,22,56,46,21
31,35,Fort Myers,FL,"$41,380","$219,200","$1,035",84.3,64.4,47.8,3.4%,"$260,200","$56,593",2,26.6195,-81.8303,"$12,038 ",21%,21,"$12,420",22%,22,22%,21.5,78,113,56.5,31
48,36,San Diego,CA,"$56,410","$555,325","$1,467",69.7,57.5,35.4,3.0%,"$717,383","$68,102",76,32.8312,-117.122,"$33,189 ",49%,49,"$17,604",26%,26,38%,37.5,104,140,73.5,48
27,37,Pensacola,FL,"$41,200","$175,875",$952,90,74.5,38,2.9%,"$157,072","$54,166",7,30.4427,-87.1886,"$7,267 ",13%,13,"$11,424",21%,21,17%,17,44,81,54,27
26,38,Indianapolis,IN,"$48,030","$173,700",$859,61.8,44.4,36.3,2.9%,"$151,493","$56,594",37,39.7771,-86.1458,"$7,009 ",12%,12,"$10,308",18%,18,15%,15,34,72,53,26
25,39,Cincinnati,OH,"$48,890","$161,483",$787,65.1,43.4,37.7,3.7%,"$161,214","$68,062",47,39.1412,-84.506,"$7,458 ",11%,11,"$9,444",14%,14,13%,12.5,25,64,51.5,25
33,40,Fort Wayne,IN,"$43,590","$146,200",$714,84.4,62.8,36.4,3.1%,"$144,412","$45,368",3,41.0885,-85.1436,"$6,681 ",15%,15,"$8,568",19%,19,17%,17,54,94,57,33
24,41,Lansing,MI,"$47,990","$136,342",$834,57.3,39.1,35.3,3.3%,"$95,504","$70,490",16,42.7142,-84.5601,"$4,418 ",6%,6,"$10,008",14%,14,10%,10,9,50,51,24
35,42,Jacksonville,FL,"$45,760","$174,658","$1,019",79.2,61.2,38.1,2.9%,"$196,115","$56,689",14,30.3322,-81.6749,"$9,073 ",16%,16,"$12,228",22%,22,19%,19,65,107,61,35
40,43,Manchester,NH,"$52,640","$234,097","$1,132",82.4,62.8,40.5,2.4%,"$267,826","$59,341",16,42.9848,-71.4447,"$12,391 ",21%,21,"$13,584",23%,23,22%,22,79,122,65,40
28,44,Harrisburg,PA,"$48,270","$162,967",$903,62.5,43.7,40.3,4.0%,"$55,717","$63,409",17,40.2752,-76.8843,"$2,578 ",4%,4,"$10,836",17%,17,11%,10.5,5,49,54.5,28
44,45,Charleston,SC,"$44,970","$246,408","$1,054",76.1,55.5,36.6,2.0%,"$339,668","$58,807",6,32.8151,-79.963,"$15,714 ",27%,27,"$12,648",22%,22,25%,24.5,91,136,69.5,44
36,46,Knoxville,TN,"$43,840","$172,333",$779,69.5,48.8,40.5,3.1%,"$200,199","$60,289",6,35.9692,-83.9496,"$9,262 ",15%,15,"$9,348",16%,16,16%,15.5,52,98,61.5,36
43,47,Hartford,CT,"$60,040","$215,542","$1,057",60.7,41.5,40.7,3.8%,"$155,406","$48,875",46,41.7661,-72.6834,"$7,190 ",15%,15,"$12,684",26%,26,21%,20.5,59,106,67.5,43
38,49,Kansas City,MO,"$49,460","$201,900",$894,64.6,44.5,37.1,3.2%,"$157,990","$63,928",44,39.1239,-94.5541,"$7,309 ",11%,11,"$10,728",17%,17,14%,14,28,77,63,38
39,50,Pittsburgh,PA,"$48,580","$140,855",$776,60.6,41.9,43,4.6%,"$158,964","$54,999",49,40.4396,-79.9763,"$7,354 ",13%,13,"$9,312",17%,17,15%,15,41,91,65,39
37,52,Buffalo,NY,"$48,180","$144,300",$763,56.3,40.2,40.8,4.4%,"$102,896","$64,065",12,42.9017,-78.8487,"$4,760 ",7%,7,"$9,156",14%,14,11%,10.5,12,64,62.5,37
45,53,Richmond,VA,"$49,840","$225,767","$1,044",69.6,48.1,38.5,2.8%,"$240,257","$67,878",27,37.5295,-77.4756,"$11,115 ",16%,16,"$12,528",18%,18,17%,17,63,116,70,45
41,54,Syracuse,NY,"$49,850","$132,500",$804,57.6,38.9,39.2,4.2%,"$98,555","$58,820",13,43.0409,-76.1438,"$4,560 ",8%,8,"$9,648",16%,16,12%,12,15,69,66,41
