,RegionName,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,United States,108145.0,111739.0,117204.0,124155.0,132951.0,141859.0,151623.0,163198.0,180462.0,200894.0,209751.0,204928.0,185805.0,174165.0,168286.0,160348.0,164957.0,178585.0,186392.0,196137.0,207767.0,221486.0,234446,243578
1,"New York, NY",188884.0,196018.0,205420.0,225341.0,253470.0,283893.0,323439.0,366605.0,417192.0,471984.0,484688.0,468871.0,433356.0,404782.0,398517.0,379265.0,373853.0,391112.0,403113.0,413712.0,427803.0,451891.0,473751,478297
2,"Los Angeles-Long Beach-Anaheim, CA",192403.0,198410.0,218319.0,238822.0,264858.0,293163.0,345872.0,413296.0,524060.0,620167.0,646791.0,591646.0,463235.0,447330.0,434298.0,412506.0,438056.0,528957.0,543032.0,583821.0,621839.0,665068.0,691903,704585
3,"Chicago, IL",166231.0,150420.0,159830.0,168823.0,183105.0,197767.0,212292.0,227584.0,246757.0,268911.0,279104.0,272741.0,244122.0,217746.0,201996.0,184341.0,180049.0,197533.0,205158.0,210660.0,221686.0,233832.0,241890,244226
4,"Dallas-Fort Worth, TX",115355.0,117739.0,120555.0,129551.0,133189.0,133986.0,139920.0,142115.0,151640.0,154323.0,158701.0,160607.0,151487.0,152940.0,148193.0,144384.0,150138.0,162840.0,174653.0,193586.0,214236.0,233720.0,249439,255972
5,"Philadelphia, PA",121088.0,123232.0,125446.0,130115.0,137329.0,146975.0,162800.0,183436.0,210331.0,240886.0,253479.0,253265.0,239158.0,231485.0,223534.0,210195.0,205615.0,212689.0,214624.0,217516.0,224397.0,233979.0,244876,252729
6,"Houston, TX",111759.0,113133.0,116903.0,124590.0,127562.0,127893.0,133438.0,136512.0,147301.0,149641.0,155125.0,158823.0,152361.0,153030.0,149235.0,143709.0,147902.0,163633.0,179326.0,191500.0,198878.0,205138.0,214283,220566
7,"Washington, DC",187931.0,187845.0,191345.0,201984.0,219117.0,246387.0,282053.0,322837.0,394069.0,476326.0,482698.0,447915.0,376732.0,353384.0,353224.0,348356.0,364854.0,394193.0,400488.0,405062.0,416797.0,432938.0,446091,460487
8,"Miami-Fort Lauderdale, FL",127685.0,130016.0,134911.0,140117.0,150333.0,170339.0,192457.0,223309.0,269796.0,342312.0,378065.0,335498.0,250679.0,208764.0,195949.0,186294.0,198530.0,235917.0,258249.0,278725.0,301715.0,321371.0,339667,346500
9,"Atlanta, GA",125906.0,131878.0,139995.0,149678.0,161384.0,170732.0,176696.0,180710.0,185729.0,193140.0,199142.0,198328.0,178759.0,157892.0,144431.0,130136.0,136127.0,159098.0,170699.0,181225.0,193911.0,210528.0,229298,240492
