,unemployment,city_state,year
0,5.2,"Albuquerque, NM",2003
12,5.4,"Albuquerque, NM",2004
24,5.1,"Albuquerque, NM",2005
36,4.1,"Albuquerque, NM",2006
48,3.7,"Albuquerque, NM",2007
60,3.9,"Albuquerque, NM",2008
72,6.6,"Albuquerque, NM",2009
84,7.7,"Albuquerque, NM",2010
96,7.6,"Albuquerque, NM",2011
108,7.5,"Albuquerque, NM",2012
120,6.9,"Albuquerque, NM",2013
132,6.7,"Albuquerque, NM",2014
144,6.2,"Albuquerque, NM",2015
156,6.0,"Albuquerque, NM",2016
168,5.8,"Albuquerque, NM",2017
180,4.9,"Albuquerque, NM",2018
192,4.8,"Albuquerque, NM",2019
204,4.5,"Albuquerque, NM",2020
205,6.6,"Anchorage, AK",2003
217,6.6,"Anchorage, AK",2004
229,6.1,"Anchorage, AK",2005
241,6.0,"Anchorage, AK",2006
253,5.5,"Anchorage, AK",2007
265,5.7,"Anchorage, AK",2008
277,6.3,"Anchorage, AK",2009
289,7.3,"Anchorage, AK",2010
301,6.9,"Anchorage, AK",2011
313,6.3,"Anchorage, AK",2012
325,5.9,"Anchorage, AK",2013
337,5.9,"Anchorage, AK",2014
349,5.6,"Anchorage, AK",2015
361,5.9,"Anchorage, AK",2016
373,6.4,"Anchorage, AK",2017
385,6.2,"Anchorage, AK",2018
397,5.9,"Anchorage, AK",2019
409,5.4,"Anchorage, AK",2020
410,5.1,"Atlanta, GA",2003
422,4.3,"Atlanta, GA",2004
434,5.3,"Atlanta, GA",2005
446,5.0,"Atlanta, GA",2006
458,4.2,"Atlanta, GA",2007
470,5.0,"Atlanta, GA",2008
482,8.5,"Atlanta, GA",2009
494,10.6,"Atlanta, GA",2010
506,10.3,"Atlanta, GA",2011
518,9.3,"Atlanta, GA",2012
530,8.3,"Atlanta, GA",2013
542,7.0,"Atlanta, GA",2014
554,6.0,"Atlanta, GA",2015
566,5.2,"Atlanta, GA",2016
578,5.0,"Atlanta, GA",2017
590,4.1,"Atlanta, GA",2018
602,3.7,"Atlanta, GA",2019
614,3.0,"Atlanta, GA",2020
615,5.2,"Augusta, GA",2003
627,4.9,"Augusta, GA",2004
639,6.0,"Augusta, GA",2005
651,5.9,"Augusta, GA",2006
663,5.5,"Augusta, GA",2007
675,5.6,"Augusta, GA",2008
687,8.4,"Augusta, GA",2009
699,9.9,"Augusta, GA",2010
711,9.7,"Augusta, GA",2011
723,9.6,"Augusta, GA",2012
735,8.8,"Augusta, GA",2013
747,7.6,"Augusta, GA",2014
759,6.7,"Augusta, GA",2015
771,5.9,"Augusta, GA",2016
783,5.4,"Augusta, GA",2017
795,4.6,"Augusta, GA",2018
807,4.1,"Augusta, GA",2019
819,3.2,"Augusta, GA",2020
820,6.1,"Austin, TX",2003
832,5.4,"Austin, TX",2004
844,4.9,"Austin, TX",2005
856,4.4,"Austin, TX",2006
868,3.7,"Austin, TX",2007
880,3.8,"Austin, TX",2008
892,5.7,"Austin, TX",2009
904,7.2,"Austin, TX",2010
916,6.7,"Austin, TX",2011
928,6.1,"Austin, TX",2012
940,5.4,"Austin, TX",2013
952,4.6,"Austin, TX",2014
964,3.6,"Austin, TX",2015
976,3.2,"Austin, TX",2016
988,3.4,"Austin, TX",2017
1000,3.0,"Austin, TX",2018
1012,3.0,"Austin, TX",2019
1024,2.6,"Austin, TX",2020
1025,10.2,"Bakersfield, CA",2003
1037,10.2,"Bakersfield, CA",2004
1049,9.2,"Bakersfield, CA",2005
1061,7.6,"Bakersfield, CA",2006
1073,7.5,"Bakersfield, CA",2007
1085,8.8,"Bakersfield, CA",2008
1097,11.9,"Bakersfield, CA",2009
1109,15.5,"Bakersfield, CA",2010
1121,15.6,"Bakersfield, CA",2011
1133,13.9,"Bakersfield, CA",2012
1145,12.4,"Bakersfield, CA",2013
1157,11.0,"Bakersfield, CA",2014
1169,10.0,"Bakersfield, CA",2015
1181,10.2,"Bakersfield, CA",2016
1193,10.1,"Bakersfield, CA",2017
1205,8.3,"Bakersfield, CA",2018
1217,7.7,"Bakersfield, CA",2019
1229,7.4,"Bakersfield, CA",2020
1230,4.8,"Baltimore, MD",2003
1242,4.7,"Baltimore, MD",2004
1254,4.6,"Baltimore, MD",2005
1266,4.0,"Baltimore, MD",2006
1278,3.8,"Baltimore, MD",2007
1290,3.5,"Baltimore, MD",2008
1302,6.4,"Baltimore, MD",2009
1314,8.2,"Baltimore, MD",2010
1326,7.8,"Baltimore, MD",2011
1338,7.2,"Baltimore, MD",2012
1350,7.1,"Baltimore, MD",2013
1362,6.3,"Baltimore, MD",2014
1374,5.7,"Baltimore, MD",2015
1386,4.8,"Baltimore, MD",2016
1398,4.5,"Baltimore, MD",2017
1410,4.3,"Baltimore, MD",2018
1422,3.8,"Baltimore, MD",2019
1434,3.4,"Baltimore, MD",2020
1435,6.3,"Baton Rouge, LA",2003
1447,6.1,"Baton Rouge, LA",2004
1459,5.9,"Baton Rouge, LA",2005
1471,5.2,"Baton Rouge, LA",2006
1483,4.3,"Baton Rouge, LA",2007
1495,4.1,"Baton Rouge, LA",2008
1507,5.8,"Baton Rouge, LA",2009
1519,7.1,"Baton Rouge, LA",2010
1531,8.4,"Baton Rouge, LA",2011
1543,7.4,"Baton Rouge, LA",2012
1555,6.7,"Baton Rouge, LA",2013
1567,5.2,"Baton Rouge, LA",2014
1579,6.2,"Baton Rouge, LA",2015
1591,5.1,"Baton Rouge, LA",2016
1603,5.0,"Baton Rouge, LA",2017
1615,4.0,"Baton Rouge, LA",2018
1627,4.3,"Baton Rouge, LA",2019
1639,4.6,"Baton Rouge, LA",2020
1640,8.6,"Beaumont, TX",2003
1652,8.4,"Beaumont, TX",2004
1664,7.7,"Beaumont, TX",2005
1676,6.9,"Beaumont, TX",2006
1688,5.2,"Beaumont, TX",2007
1700,5.7,"Beaumont, TX",2008
1712,7.8,"Beaumont, TX",2009
1724,11.3,"Beaumont, TX",2010
1736,11.6,"Beaumont, TX",2011
1748,10.3,"Beaumont, TX",2012
1760,10.8,"Beaumont, TX",2013
1772,9.3,"Beaumont, TX",2014
1784,6.7,"Beaumont, TX",2015
1796,6.6,"Beaumont, TX",2016
1808,7.4,"Beaumont, TX",2017
1820,6.9,"Beaumont, TX",2018
1832,5.7,"Beaumont, TX",2019
1844,5.4,"Beaumont, TX",2020
1845,5.0,"Birmingham, AL",2003
1857,5.1,"Birmingham, AL",2004
1869,4.5,"Birmingham, AL",2005
1881,3.9,"Birmingham, AL",2006
1893,3.5,"Birmingham, AL",2007
1905,3.9,"Birmingham, AL",2008
1917,8.0,"Birmingham, AL",2009
1929,10.7,"Birmingham, AL",2010
1941,9.4,"Birmingham, AL",2011
1953,7.1,"Birmingham, AL",2012
1965,6.5,"Birmingham, AL",2013
1977,6.3,"Birmingham, AL",2014
1989,5.4,"Birmingham, AL",2015
2001,5.5,"Birmingham, AL",2016
2013,5.1,"Birmingham, AL",2017
2025,3.6,"Birmingham, AL",2018
2037,3.4,"Birmingham, AL",2019
2049,2.4,"Birmingham, AL",2020
2050,5.5,"Boston, MA",2003
2062,5.3,"Boston, MA",2004
2074,4.6,"Boston, MA",2005
2086,4.6,"Boston, MA",2006
2098,4.4,"Boston, MA",2007
2110,4.2,"Boston, MA",2008
2122,6.5,"Boston, MA",2009
2134,8.0,"Boston, MA",2010
2146,7.0,"Boston, MA",2011
2158,6.1,"Boston, MA",2012
2170,6.2,"Boston, MA",2013
2182,5.6,"Boston, MA",2014
2194,4.6,"Boston, MA",2015
2206,3.9,"Boston, MA",2016
2218,3.4,"Boston, MA",2017
2230,3.3,"Boston, MA",2018
2242,2.8,"Boston, MA",2019
2254,2.6,"Boston, MA",2020
2255,9.4,"Brownsville, TX",2003
2267,9.3,"Brownsville, TX",2004
2279,8.5,"Brownsville, TX",2005
2291,6.8,"Brownsville, TX",2006
2303,5.9,"Brownsville, TX",2007
2315,5.7,"Brownsville, TX",2008
2327,8.1,"Brownsville, TX",2009
2339,10.7,"Brownsville, TX",2010
2351,11.6,"Brownsville, TX",2011
2363,10.6,"Brownsville, TX",2012
2375,10.2,"Brownsville, TX",2013
2387,9.2,"Brownsville, TX",2014
2399,7.4,"Brownsville, TX",2015
2411,6.9,"Brownsville, TX",2016
2423,7.5,"Brownsville, TX",2017
2435,6.4,"Brownsville, TX",2018
2447,5.9,"Brownsville, TX",2019
2459,5.6,"Brownsville, TX",2020
2460,5.5,"Buffalo, NY",2003
2472,6.2,"Buffalo, NY",2004
2484,5.3,"Buffalo, NY",2005
2496,5.1,"Buffalo, NY",2006
2508,4.6,"Buffalo, NY",2007
2520,5.4,"Buffalo, NY",2008
2532,7.9,"Buffalo, NY",2009
2544,8.7,"Buffalo, NY",2010
2556,8.3,"Buffalo, NY",2011
2568,8.4,"Buffalo, NY",2012
2580,8.1,"Buffalo, NY",2013
2592,6.7,"Buffalo, NY",2014
2604,5.8,"Buffalo, NY",2015
2616,4.9,"Buffalo, NY",2016
2628,5.3,"Buffalo, NY",2017
2640,5.2,"Buffalo, NY",2018
2652,4.2,"Buffalo, NY",2019
2664,4.4,"Buffalo, NY",2020
2665,5.0,"Charleston, SC",2003
2677,5.4,"Charleston, SC",2004
2689,5.4,"Charleston, SC",2005
2701,5.3,"Charleston, SC",2006
2713,4.7,"Charleston, SC",2007
2725,4.5,"Charleston, SC",2008
2737,8.1,"Charleston, SC",2009
2749,9.7,"Charleston, SC",2010
2761,8.8,"Charleston, SC",2011
2773,8.1,"Charleston, SC",2012
2785,6.8,"Charleston, SC",2013
2797,5.3,"Charleston, SC",2014
2809,5.6,"Charleston, SC",2015
2821,4.7,"Charleston, SC",2016
2833,4.0,"Charleston, SC",2017
2845,3.4,"Charleston, SC",2018
2857,2.8,"Charleston, SC",2019
2869,2.0,"Charleston, SC",2020
2870,6.3,"Charlotte, NC",2003
2882,6.3,"Charlotte, NC",2004
2894,5.6,"Charlotte, NC",2005
2906,4.9,"Charlotte, NC",2006
2918,4.8,"Charlotte, NC",2007
2930,5.3,"Charlotte, NC",2008
2942,10.5,"Charlotte, NC",2009
2954,12.4,"Charlotte, NC",2010
2966,11.0,"Charlotte, NC",2011
2978,9.7,"Charlotte, NC",2012
